Sekolah,Siswa,Mengulang,Putus Sekolah,Kepala Sekolah dan Guru(<S1),Kepala Sekolah dan Guru(≥ S1),Tenaga Kependidikan(SM),Tenaga Kependidikan(>SM),Rombongan Belajar,Ruang kelas(baik),Ruang kelas(rusak ringan),Ruang kelas(rusak sedang),Ruang kelas(rusak berat),Status_Kelayakan,Provinsi_Prov. Aceh,Provinsi_Prov. Bali,Provinsi_Prov. Banten,Provinsi_Prov. Bengkulu,Provinsi_Prov. D.I. Yogyakarta,Provinsi_Prov. D.K.I. Jakarta,Provinsi_Prov. Gorontalo,Provinsi_Prov. Jambi,Provinsi_Prov. Jawa Barat,Provinsi_Prov. Jawa Tengah,Provinsi_Prov. Jawa Timur,Provinsi_Prov. Kalimantan Barat,Provinsi_Prov. Kalimantan Selatan,Provinsi_Prov. Kalimantan Tengah,Provinsi_Prov. Kalimantan Timur,Provinsi_Prov. Kalimantan Utara,Provinsi_Prov. Kepulauan Bangka Belitung,Provinsi_Prov. Kepulauan Riau,Provinsi_Prov. Lampung,Provinsi_Prov. Maluku,Provinsi_Prov. Maluku Utara,Provinsi_Prov. Nusa Tenggara Barat,Provinsi_Prov. Nusa Tenggara Timur,Provinsi_Prov. Papua,Provinsi_Prov. Papua Barat,Provinsi_Prov. Papua Barat Daya,Provinsi_Prov. Papua Pegunungan,Provinsi_Prov. Papua Selatan,Provinsi_Prov. Papua Tengah,Provinsi_Prov. Riau,Provinsi_Prov. Sulawesi Barat,Provinsi_Prov. Sulawesi Selatan,Provinsi_Prov. Sulawesi Tengah,Provinsi_Prov. Sulawesi Tenggara,Provinsi_Prov. Sulawesi Utara,Provinsi_Prov. Sumatera Barat,Provinsi_Prov. Sumatera Selatan,Provinsi_Prov. Sumatera Utara
0.18781233507562578,0.31031212714945294,1.5895057334788536,0.7121902104903572,0.8561507186841861,0.39340761986921474,0.6563457038833491,0.834444003300805,0.3100544986757741,0.22835024317213168,0.23271970146970428,0.3460118528061419,0.11313200545887019,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.18927064638924807,0.21296860430850842,-0.1878663021413603,-0.2793862336808222,0.7814061851314388,0.3173080179415741,0.13476794432609124,-0.09378308804111327,0.24548472505230937,0.10638030877402464,0.25721553986214946,0.4524562036106928,0.21083786299042517,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.13114652403201707,-0.0630841771605949,3.0492552091225686,0.14656655204800467,0.4375813307888014,-0.03948992325682241,-0.2376931308823088,-0.4379327815561871,0.05438758212875563,-0.07932166341768784,0.02567583211591233,0.15343695860248874,0.2656287167995568,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.243222823193589,-0.39891517343462046,-0.015254869547235499,-0.4164545435487543,-0.45536669672135255,-0.31841023444515676,-0.6109807952500705,-0.7267145433070061,-0.3162967946400857,-0.3634374396592243,-0.2708859172455652,-0.23144197903941152,-0.2736428394105173,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.18697367252530095,-0.3090270923868334,0.1577946631296155,-0.5405100391887181,-0.5221384800284734,-0.22802365392582327,-0.28580061995716205,0.08209151873946073,-0.23140101136776792,-0.2055495572373504,-0.19829898436206966,-0.13799846497434778,-0.3953703027992778,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.39342888849668417,-0.2313832218240386,-0.34076323101280587,-0.4216596692399416,-0.6307672021251328,-0.30362122439489786,0.006150671129404495,-0.1133247110167326,-0.2920525180709719,-0.16180245801911045,-0.34428337419351673,-0.5124496481481178,-0.4334270042135023,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.33509643595179284,-0.4663701744403198,-0.9256268414522896,-0.624659571196246,-0.45138032159853936,-0.44734864738687663,-0.810684736151867,-0.8439642811607221,-0.40636251343219204,-0.3968143473830306,-0.4095755904969091,-0.404109341985725,-0.3181772772356736,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
-0.18197374802145314,-0.35683514216381623,0.0714889468325531,-0.10588204397457908,0.6598217438856366,-0.2885811986153559,0.23891817840567048,-0.2848567349138356,-0.2716448778612801,-0.29551611920892706,-0.2708859172455652,-0.1841785204760677,-0.05825810374703426,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0.5450986069130851,0.3116495626706257,0.2011665713195098,0.397280106173526,0.30403776417455963,0.6019598549485378,0.9772276155475766,1.4912596644257883,0.4761999001696114,0.2798578168199809,0.3326843360859327,0.9504153358095905,0.7792592330496925,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
-0.3063468700546679,-0.3781287084037139,-0.5247652657578119,-0.32189476015885177,-0.31883334876500086,-0.286196549187167,-0.3757335204957194,-0.5540968736890354,-0.3385003071882303,-0.4234609321501846,-0.34986698441532404,-0.25920418249352467,-0.1076508438803894,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
